,Regime_0,Regime_1,Regime_2
2014-09-08,1.8274153834989304e-05,1.5646613339302973e-05,0.99996607923283
2014-09-09,7.539692544390884e-05,1.8091535732738933e-05,0.9999065115388508
2014-09-10,0.00030763720904545687,7.481362901826025e-05,0.9996175491619242
2014-09-11,0.0016273877270119334,0.0002993193968860771,0.9980732928760793
2014-09-12,5.675344769374505e-228,2.7189613610158784e-137,1.0
2014-09-15,0.9991915294148846,8.977820591101741e-05,0.0007186923792083699
2014-09-16,0.9999970274720182,1.5776592342112728e-06,1.394868750387526e-06
2014-09-17,0.9999988346492583,1.0536041644561396e-06,1.1174658093794691e-07
2014-09-18,0.9999976440729951,2.2997355597932312e-06,5.6191453797317565e-08
2014-09-19,0.999999263582809,6.879879539873696e-07,4.8429258928053554e-08
2014-09-22,0.9999985940675848,1.3497747078005804e-06,5.615771504167525e-08
2014-09-23,0.9999959480934089,3.633582237482845e-06,4.183243509638216e-07
2014-09-24,0.9999991630202295,7.995167445149453e-07,3.746303465535634e-08
2014-09-25,0.9999696733348167,2.0736498837470425e-05,9.590166353551036e-06
2014-09-26,0.9999739411181977,2.4460867632555248e-05,1.5980141450336003e-06
2014-09-29,0.9999937442456844,5.422643862000144e-06,8.331104670138319e-07
2014-09-30,0.9999897011705328,9.855795216711094e-06,4.430342660928936e-07
2014-10-01,0.9997903634022896,0.00019474442108244528,1.4892176647454577e-05
2014-10-07,0.996805411311981,0.003188044413341622,6.544274668474604e-06
2014-10-08,0.9782224066168916,0.02167869606887564,9.889731422037639e-05
2014-10-09,0.9583455296447587,0.041486932662217264,0.0001675376930503558
2014-10-10,0.891368945299058,0.10564796638575352,0.002983088315195675
2014-10-13,0.9470828042645411,0.05284084505318278,7.635068227098546e-05
2014-10-14,0.9575457847739443,0.042289573886612586,0.0001646413394686822
2014-10-16,0.9369428397229379,0.04603037153939763,0.01702678873764255
2014-10-17,1.0,7.665613719902425e-38,5.122727945113248e-115
