Date,Regime_0,Regime_1,Regime_2
2022-07-21,0.9707649206589367,0.029234356358405912,7.229828233315771e-07
2022-07-22,0.02799798532784443,0.9720008662419879,1.1484313783242592e-06
2022-07-25,0.971921140091685,0.028072514987095117,6.344920644020773e-06
2022-07-26,0.026733398812113035,0.973251752570751,1.4848615354893979e-05
2022-07-27,0.9731873487667748,0.026812184474876627,4.6675891893154245e-07
2022-07-28,0.024861167152410015,0.9751348803631726,3.952483405228959e-06
2022-07-29,0.974898904981269,0.025100999214641005,9.580240499227675e-08
2022-08-01,0.022757593783267898,0.97724076961118,1.6366053736137165e-06
2022-08-02,0.9770230945974829,0.022976825017788596,8.03857782646484e-08
2022-08-03,0.021275239056725365,0.9787245707411416,1.902030286310934e-07
2022-08-04,0.9785039866484776,0.021491158655186682,4.854696877760378e-06
2022-08-05,0.02083167536643142,0.9791679206548735,4.0397999133247246e-07
2022-08-08,0.9790549661819047,0.02094491611031859,1.1770608434446471e-07
2022-08-10,0.01996422958468577,0.9800356997823618,7.063322919545086e-08
2022-08-11,0.9799677237819704,0.02003226854178486,7.675503272264256e-09
2022-08-12,0.01872331712010435,0.9812763912258595,2.916536763750776e-07
2022-08-16,0.9815721510246179,0.018427847675508396,1.3008058480249097e-09
2022-08-17,0.013405661925281349,0.9865943221087847,1.5965314214439647e-08
2022-08-18,0.986832070908353,0.013167928262134804,8.277058110663055e-10
2022-08-19,0.011368166585038225,0.9886316176323157,2.1578087932163204e-07
2022-08-22,0.988644016150575,0.011355964646617953,1.920139724723951e-08
2022-08-23,0.009136002457245695,0.9908638813908145,1.1615359016268983e-07
2022-08-24,0.9910615843986141,0.008938414068871456,1.5307719399950018e-09
2022-08-25,0.006992439362142999,0.9930075423450369,1.8291073535677345e-08
2022-08-26,0.9931139842512346,0.006886013499240247,2.2506582143329117e-09
2022-08-29,0.005277105976213101,0.9947217839959108,1.1100270436452198e-06
2022-08-30,0.99473338522136,0.005266535022526147,7.97568145932512e-08
2022-09-01,0.004181096571915584,0.9958173020865951,1.6013400263056075e-06
2022-09-02,0.9957900106964159,0.004209941143259467,4.815989950977983e-08
2022-09-05,0.0037445039808794807,0.9962553622193603,1.337995446316566e-07
2022-09-06,0.9961611748595784,0.0038386765015038125,1.4863794310636933e-07
2022-09-07,0.0034179435482700068,0.9965818970434938,1.5940666770889053e-07
2022-09-08,0.9964998186698891,0.0035001621186533036,1.921028473040414e-08
2022-09-09,0.003086125673980931,0.9969138416976218,3.262888905412533e-08
2022-09-12,0.9968445118314627,0.0031554746033544026,1.3565747650291835e-08
2022-09-13,0.0025167470281884713,0.9974832266674707,2.630452484380239e-08
2022-09-14,0.9974802489106972,0.002519626388949735,1.2469888194099435e-07
2022-09-15,0.0022493982855168694,0.9977503000959962,3.016171362371076e-07
2022-09-16,0.9976944074587114,0.0022983726582714915,7.2198839992130874e-06
2022-09-19,0.0017202505820355246,0.9982789146358559,8.347806945762879e-07
2022-09-20,0.9982363690454951,0.0017636075751574895,2.33786925845547e-08
2022-09-21,0.0014717010042774824,0.99852823280802,6.618827321058133e-08
2022-09-22,0.9984418786928344,0.0015462626543054445,1.1858654059152195e-05
2022-09-23,0.001340132286667935,0.9986357534143097,2.4114299062741453e-05
2022-09-26,0.9984467430475444,0.001534610438998509,1.8646515246449853e-05
2022-09-27,0.0012483118023113797,0.9987367633453792,1.4924851419768544e-05
2022-09-28,0.9986817577605586,0.0013153939349289016,2.8483061492975314e-06
2022-09-29,0.0008885398185799647,0.9991090933550195,2.366825297984166e-06
2022-09-30,0.9990925161771734,0.0009071347977714797,3.4902608728998283e-07
2022-10-03,0.0006517467022747445,0.9993466909772888,1.562318876166834e-06
2022-10-04,0.9992985611238364,0.0007002257517517802,1.21312502988646e-06
2022-10-06,0.00042506945252586854,0.999573491235764,1.4393122591771856e-06
2022-10-07,0.9995525267801992,0.0004398782237955658,7.5949942514470705e-06
2022-10-10,0.00033765548460375244,0.9996558629379222,6.481578402461535e-06
2022-10-11,0.9994974439744254,0.00045816973177047345,4.438629332169056e-05
2022-10-12,0.0003882787639620613,0.9995875293905422,2.4191843771713092e-05
2022-10-13,0.9995218293844831,0.0004665599277024632,1.1610689228627811e-05
