,Strategy
2016-06-06,-0.000501117707640102
2016-06-07,0.0020057880834654434
2016-06-08,-0.00854428939764204
2016-06-09,-0.022620624195944034
2016-06-10,-0.0029836249681337254
2016-06-13,0.0001834053832892092
2016-06-14,-0.0036066361495752145
2016-06-15,0.009184742362058664
2016-06-16,-0.0023962227550487197
2016-06-17,-0.003956459951185055
2016-06-20,0.017901824979210515
2016-06-21,-0.0015827054513809008
2016-06-22,-0.003950272470556571
2016-06-23,0.007282030775049638
2016-06-24,-0.01015865545196818
2016-06-27,-0.017132157237224936
2016-06-28,-0.004363907028240779
2016-06-29,0.011022734195182316
2016-06-30,-0.0037108260147270264
2016-07-01,0.000986398387036566
2016-07-04,0.0071116878775089746
2016-07-05,-0.005182554233416761
2016-07-07,-0.011177187403806957
2016-07-08,0.000592477678624532
2016-07-11,0.012178674350464195
2016-07-12,0.0040690070559936614
2016-07-13,0.011108205734717293
2016-07-14,-0.008997904007745037
2016-07-15,0.006138931309185013
2016-07-18,0.00738557820820579
2016-07-19,0.0038944893478951403
2016-07-20,-0.002985086672052894
2016-07-21,-0.0024895786474305468
2016-07-22,-0.005813934116603072
2016-07-25,0.006600918506724184
2016-07-26,0.006120337170940332
2016-07-27,-0.002593137844574519
2016-07-28,-0.0060950242849265165
2016-07-29,-0.002854870865100934
2016-08-01,0.00894653286628656
2016-08-02,-0.0011258637489344509
2016-08-03,0.0008550532854763661
2016-08-04,-0.010175521622294717
2016-08-05,-0.002987818582244713
2016-08-08,0.008442907176025917
2016-08-09,0.0011915823158568394
2016-08-10,0.010831042698583085
2016-08-11,0.00880773489782614
2016-08-16,-0.006633557438824837
2016-08-17,-0.009574269534675413
2016-08-18,0.007008193832154976
2016-08-19,-0.0026173399344656934
2016-08-22,-0.004807693982705211
2016-08-23,-0.0011705646048355777
2016-08-24,0.001821327077008117
2016-08-25,-0.006465588630746452
2016-08-26,0.004012928035382292
2016-08-29,0.02431883277266181
2016-08-30,-0.0006332167545812433
2016-08-31,-0.005076831058510819
2016-09-01,-0.012977078313017053
2016-09-02,-0.013027570194066107
2016-09-06,0.00737851421456414
2016-09-07,-0.0018662528818854402
2016-09-08,-0.0004378484943913162
2016-09-09,0.0091272808102645
2016-09-12,0.014766924273884256
2016-09-14,-0.005033059417598024
2016-09-15,0.004928721785494822
2016-09-16,0.008791431235627072
2016-09-19,-0.0036571445305665653
2016-09-20,-0.0008122159572384441
2016-09-21,0.0021769348157689174
2016-09-22,0.006626519823858465
2016-09-23,0.00273555521321606
2016-09-26,-0.0077714295817939046
2016-09-27,0.0009036347800627985
2016-09-28,0.0017957783376381154
2016-09-29,-0.01145566050403211
2016-09-30,-0.0022437510379404056
2016-10-03,0.006949431382005706
2016-10-04,0.0011253069259776899
